1001,1,1,1,4,0,1,0,0,339.666,2765.8,0.968
1001,1,2,2,5,0,1,0,0,427.571,3253.5,3.898
1001,1,3,3,6,0,1,0,0,317.01,2400,4.136
1001,1,4,4,0,0,1,0,0,369.653,2521.6,3.014
1001,1,5,5,1,1,0,0,0,365.401,3026.9,4.484
1001,1,6,6,2,1,0,0,0,461.141,3971.4,1.591
1001,1,7,7,3,1,0,0,0,575.251,5036.5,25.08
1001,1,8,8,4,1,0,0,0,400.031,3020.9,2.116
1001,1,9,9,5,1,0,0,0,383.712,2778.3,1.384
1001,1,10,10,6,0,1,0,0,461.974,3400.4,2.87
1001,1,11,11,0,0,1,0,0,513.89,3027.7,2.014
1001,1,12,12,1,1,0,0,0,493.047,3602.9,7.746
1001,1,13,13,2,1,0,0,0,409.723,2734.6,1.232
1001,1,14,14,3,1,0,0,0,763.087,4843.7,13.838
1001,1,15,15,4,1,0,0,0,392.012,2747.53,3.936
1001,1,16,16,5,1,0,0,0,378.461,3266.1,3.88
1001,1,17,17,6,0,1,0,0,361.363,2963.5,1.084
1001,1,18,18,0,0,1,0,0,516.968,3583.8,4.542
1001,1,19,19,1,1,0,0,0,665.014,5109.34,7.82
1001,1,20,20,2,1,0,0,0,376.521,3398.1,6.61
1001,1,21,21,3,1,0,0,0,659.697,5471.6,26.326
1001,1,22,22,4,1,0,0,0,441.259,3187.54,3.964
1001,1,23,23,5,1,0,0,0,443.458,4228.8,10.996
1001,1,24,24,6,0,1,0,0,423.088,3586.2,1.738
1001,1,25,25,0,0,1,0,0,462.325,3600,1.702
1001,1,26,26,1,1,0,0,0,535.37,3768.6,13.862
1001,1,27,27,2,1,0,0,0,453.736,3860.63,12.02
1001,1,28,28,3,1,0,0,0,740.224,6867,46.028
1001,1,29,29,4,1,0,0,0,379.593,2962.93,3.356
1001,1,30,30,5,1,0,0,0,312.15,2781,2.026
1001,1,31,31,6,0,1,0,0,612.633,4427.62,2.204
1001,2,32,1,0,0,1,0,0,395.401,3726.9,2.314
1001,2,33,2,1,1,0,0,0,437.141,3724.43,1.982
1001,2,34,3,2,1,0,0,0,481.232,16069.9,5.45
1001,2,35,4,3,1,0,0,0,3.69,45.7,0
